FFA-W1-182
0.98338	0.00329
0.94365	0.00946
0.89588	0.01837
0.84102	0.02984
0.78009	0.04344
0.71428	0.05855
0.64484	0.0743
0.5731	0.08962
0.50044	0.10323
0.42826	0.11356
0.35792	0.11874
0.29079	0.11768
0.22815	0.11107
0.1712	0.09996
0.12102	0.08542
0.07859	0.06855
0.04471	0.05039
0.02004	0.03216
0.00505	0.01504
2e-05	0.00077
0.00128	-0.00623
0.01131	-0.01533
0.03119	-0.02388
0.06054	-0.03266
0.09878	-0.04143
0.1452	-0.0496
0.19889	-0.05639
0.25883	-0.06105
0.32387	-0.06278
0.39277	-0.0613
0.4642	-0.05675
0.5368	-0.04905
0.60917	-0.03852
0.67993	-0.0266
0.74772	-0.01575
0.81124	-0.00797
0.86928	-0.00327
0.92071	-0.00101
0.96457	-0.00057
1.0	-0.00115
